,Unnamed: 0,Date,Company,y
0,1256,2012-09-05,-,-
1,1255,2012-09-06,DUK,1
2,1254,2012-09-07,DUK,0
3,1253,2012-09-10,DUK,1
4,1252,2012-09-11,DUK,0
5,1251,2012-09-12,DUK,0
6,1250,2012-09-13,DUK,1
7,1249,2012-09-14,DUK,0
8,1248,2012-09-17,DUK,1
9,1247,2012-09-18,DUK,0
10,1246,2012-09-19,DUK,1
11,1245,2012-09-20,DUK,1
12,1244,2012-09-21,DUK,0
13,1243,2012-09-24,DUK,1
14,1242,2012-09-25,DUK,0
15,1241,2012-09-26,DUK,1
16,1240,2012-09-27,DUK,0
17,1239,2012-09-28,DUK,1
18,1238,2012-10-01,DUK,0
19,1237,2012-10-02,DUK,1
20,1236,2012-10-03,DUK,0
21,1235,2012-10-04,DUK,1
22,1234,2012-10-05,DUK,0
23,1233,2012-10-08,DUK,1
24,1232,2012-10-09,DUK,0
25,1231,2012-10-10,DUK,0
26,1230,2012-10-11,DUK,1
27,1229,2012-10-12,DUK,0
28,1228,2012-10-15,DUK,1
29,1227,2012-10-16,DUK,0
30,1226,2012-10-17,DUK,1
31,1225,2012-10-18,DUK,0
32,1224,2012-10-19,DUK,0
33,1223,2012-10-22,DUK,1
34,1222,2012-10-23,DUK,0
35,1221,2012-10-24,DUK,0
36,1220,2012-10-25,DUK,1
37,1219,2012-10-26,DUK,0
38,1218,2012-10-31,DUK,1
39,1217,2012-11-01,DUK,0
40,1216,2012-11-02,DUK,1
41,1215,2012-11-05,DUK,0
42,1214,2012-11-06,DUK,1
43,1213,2012-11-07,DUK,0
44,1212,2012-11-08,DUK,1
45,1211,2012-11-09,DUK,0
46,1210,2012-11-12,DUK,1
47,1209,2012-11-13,DUK,1
48,1208,2012-11-14,DUK,0
49,1207,2012-11-15,DUK,0
50,1206,2012-11-16,DUK,1
51,1205,2012-11-19,DUK,0
52,1204,2012-11-20,DUK,0
53,1203,2012-11-21,DUK,0
54,1202,2012-11-23,DUK,1
55,1201,2012-11-26,DUK,1
56,1200,2012-11-27,DUK,0
57,1199,2012-11-28,DUK,0
58,1198,2012-11-29,DUK,1
59,1197,2012-11-30,DUK,1
60,1196,2012-12-03,DUK,0
61,1195,2012-12-04,DUK,0
62,1194,2012-12-05,DUK,1
63,1193,2012-12-06,DUK,0
64,1192,2012-12-07,DUK,1
65,1191,2012-12-10,DUK,0
66,1190,2012-12-11,DUK,0
67,1189,2012-12-12,DUK,1
68,1188,2012-12-13,DUK,0
69,1187,2012-12-14,DUK,1
70,1186,2012-12-17,DUK,1
71,1185,2012-12-18,DUK,0
72,1184,2012-12-19,DUK,0
73,1183,2012-12-20,DUK,1
74,1182,2012-12-21,DUK,0
75,1181,2012-12-24,DUK,1
76,1180,2012-12-26,DUK,0
77,1179,2012-12-27,DUK,1
78,1178,2012-12-28,DUK,0
79,1177,2012-12-31,DUK,1
80,1176,2013-01-02,DUK,1
81,1175,2013-01-03,DUK,0
82,1174,2013-01-04,DUK,1
83,1173,2013-01-07,DUK,0
84,1172,2013-01-08,DUK,1
85,1171,2013-01-09,DUK,0
86,1170,2013-01-10,DUK,1
87,1169,2013-01-11,DUK,0
88,1168,2013-01-14,DUK,0
89,1167,2013-01-15,DUK,1
90,1166,2013-01-16,DUK,0
91,1165,2013-01-17,DUK,1
92,1164,2013-01-18,DUK,1
93,1163,2013-01-22,DUK,0
94,1162,2013-01-23,DUK,0
95,1161,2013-01-24,DUK,1
96,1160,2013-01-25,DUK,0
97,1159,2013-01-28,DUK,0
98,1158,2013-01-29,DUK,1
99,1157,2013-01-30,DUK,1
100,1156,2013-01-31,DUK,0
101,1155,2013-02-01,DUK,0
102,1154,2013-02-04,DUK,0
103,1153,2013-02-05,DUK,1
104,1152,2013-02-06,DUK,0
105,1151,2013-02-07,DUK,0
106,1150,2013-02-08,DUK,1
107,1149,2013-02-11,DUK,1
108,1148,2013-02-12,DUK,1
109,1147,2013-02-13,DUK,0
110,1146,2013-02-14,DUK,0
111,1145,2013-02-15,DUK,1
112,1144,2013-02-19,DUK,1
113,1143,2013-02-20,DUK,0
114,1142,2013-02-21,DUK,1
115,1141,2013-02-22,DUK,1
116,1140,2013-02-25,DUK,0
117,1139,2013-02-26,DUK,1
118,1138,2013-02-27,DUK,1
119,1137,2013-02-28,DUK,0
120,1136,2013-03-01,DUK,1
121,1135,2013-03-04,DUK,1
122,1134,2013-03-05,DUK,0
123,1133,2013-03-06,DUK,0
124,1132,2013-03-07,DUK,0
125,1131,2013-03-08,DUK,1
126,1130,2013-03-11,DUK,1
127,1129,2013-03-12,DUK,0
128,1128,2013-03-13,DUK,1
129,1127,2013-03-14,DUK,0
130,1126,2013-03-15,DUK,0
131,1125,2013-03-18,DUK,0
132,1124,2013-03-19,DUK,1
133,1123,2013-03-20,DUK,1
134,1122,2013-03-21,DUK,0
135,1121,2013-03-22,DUK,1
136,1120,2013-03-25,DUK,0
137,1119,2013-03-26,DUK,1
138,1118,2013-03-27,DUK,1
139,1117,2013-03-28,DUK,1
140,1116,2013-04-01,DUK,0
141,1115,2013-04-02,DUK,1
142,1114,2013-04-03,DUK,0
143,1113,2013-04-04,DUK,1
144,1112,2013-04-05,DUK,1
145,1111,2013-04-08,DUK,1
146,1110,2013-04-09,DUK,0
147,1109,2013-04-10,DUK,1
148,1108,2013-04-11,DUK,1
149,1107,2013-04-12,DUK,0
150,1106,2013-04-15,DUK,0
151,1105,2013-04-16,DUK,1
152,1104,2013-04-17,DUK,0
153,1103,2013-04-18,DUK,1
154,1102,2013-04-19,DUK,1
155,1101,2013-04-22,DUK,0
156,1100,2013-04-23,DUK,1
157,1099,2013-04-24,DUK,1
158,1098,2013-04-25,DUK,1
159,1097,2013-04-26,DUK,0
160,1096,2013-04-29,DUK,1
161,1095,2013-04-30,DUK,0
162,1094,2013-05-01,DUK,0
163,1093,2013-05-02,DUK,1
164,1092,2013-05-03,DUK,0
165,1091,2013-05-06,DUK,0
166,1090,2013-05-07,DUK,1
167,1089,2013-05-08,DUK,0
168,1088,2013-05-09,DUK,0
169,1087,2013-05-10,DUK,1
170,1086,2013-05-13,DUK,0
171,1085,2013-05-14,DUK,1
172,1084,2013-05-15,DUK,1
173,1083,2013-05-16,DUK,0
174,1082,2013-05-17,DUK,1
175,1081,2013-05-20,DUK,0
176,1080,2013-05-21,DUK,1
177,1079,2013-05-22,DUK,0
178,1078,2013-05-23,DUK,1
179,1077,2013-05-24,DUK,0
180,1076,2013-05-28,DUK,0
181,1075,2013-05-29,DUK,1
182,1074,2013-05-30,DUK,1
183,1073,2013-05-31,DUK,0
184,1072,2013-06-03,DUK,1
185,1071,2013-06-04,DUK,0
186,1070,2013-06-05,DUK,0
187,1069,2013-06-06,DUK,1
188,1068,2013-06-07,DUK,0
189,1067,2013-06-10,DUK,1
190,1066,2013-06-11,DUK,0
191,1065,2013-06-12,DUK,1
192,1064,2013-06-13,DUK,1
193,1063,2013-06-14,DUK,0
194,1062,2013-06-17,DUK,0
195,1061,2013-06-18,DUK,1
196,1060,2013-06-19,DUK,0
197,1059,2013-06-20,DUK,0
198,1058,2013-06-21,DUK,1
199,1057,2013-06-24,DUK,0
200,1056,2013-06-25,DUK,1
201,1055,2013-06-26,DUK,1
202,1054,2013-06-27,DUK,0
203,1053,2013-06-28,DUK,1
204,1052,2013-07-01,DUK,0
205,1051,2013-07-02,DUK,1
206,1050,2013-07-03,DUK,0
207,1049,2013-07-05,DUK,0
208,1048,2013-07-08,DUK,1
209,1047,2013-07-09,DUK,0
210,1046,2013-07-10,DUK,0
211,1045,2013-07-11,DUK,1
212,1044,2013-07-12,DUK,0
213,1043,2013-07-15,DUK,1
214,1042,2013-07-16,DUK,0
215,1041,2013-07-17,DUK,1
216,1040,2013-07-18,DUK,1
217,1039,2013-07-19,DUK,0
218,1038,2013-07-22,DUK,1
219,1037,2013-07-23,DUK,1
220,1036,2013-07-24,DUK,0
221,1035,2013-07-25,DUK,1
222,1034,2013-07-26,DUK,1
223,1033,2013-07-29,DUK,1
224,1032,2013-07-30,DUK,0
225,1031,2013-07-31,DUK,0
226,1030,2013-08-01,DUK,1
227,1029,2013-08-02,DUK,0
228,1028,2013-08-05,DUK,0
229,1027,2013-08-06,DUK,1
230,1026,2013-08-07,DUK,1
231,1025,2013-08-08,DUK,1
232,1024,2013-08-09,DUK,0
233,1023,2013-08-12,DUK,1
234,1022,2013-08-13,DUK,1
235,1021,2013-08-14,DUK,0
236,1020,2013-08-15,DUK,0
237,1019,2013-08-16,DUK,1
238,1018,2013-08-19,DUK,1
239,1017,2013-08-20,DUK,1
240,1016,2013-08-21,DUK,0
241,1015,2013-08-22,DUK,1
242,1014,2013-08-23,DUK,1
243,1013,2013-08-26,DUK,0
244,1012,2013-08-27,DUK,1
245,1011,2013-08-28,DUK,1
246,1010,2013-08-29,DUK,0
247,1009,2013-08-30,DUK,1
248,1008,2013-09-03,DUK,0
249,1007,2013-09-04,DUK,1
250,1006,2013-09-05,DUK,1
251,1005,2013-09-06,DUK,1
252,1004,2013-09-09,DUK,0
253,1003,2013-09-10,DUK,1
254,1002,2013-09-11,DUK,0
255,1001,2013-09-12,DUK,1
256,1000,2013-09-13,DUK,1
257,999,2013-09-16,DUK,0
258,998,2013-09-17,DUK,0
259,997,2013-09-18,DUK,1
260,996,2013-09-19,DUK,0
261,995,2013-09-20,DUK,0
262,994,2013-09-23,DUK,1
263,993,2013-09-24,DUK,0
264,992,2013-09-25,DUK,0
265,991,2013-09-26,DUK,1
266,990,2013-09-27,DUK,0
267,989,2013-09-30,DUK,1
268,988,2013-10-01,DUK,1
269,987,2013-10-02,DUK,0
270,986,2013-10-03,DUK,0
271,985,2013-10-04,DUK,1
272,984,2013-10-07,DUK,0
273,983,2013-10-08,DUK,1
274,982,2013-10-09,DUK,0
275,981,2013-10-10,DUK,1
276,980,2013-10-11,DUK,0
277,979,2013-10-14,DUK,0
278,978,2013-10-15,DUK,0
279,977,2013-10-16,DUK,1
280,976,2013-10-17,DUK,0
281,975,2013-10-18,DUK,0
282,974,2013-10-21,DUK,0
283,973,2013-10-22,DUK,1
284,972,2013-10-23,DUK,0
285,971,2013-10-24,DUK,0
286,970,2013-10-25,DUK,1
287,969,2013-10-28,DUK,0
288,968,2013-10-29,DUK,1
289,967,2013-10-30,DUK,0
290,966,2013-10-31,DUK,1
291,965,2013-11-01,DUK,1
292,964,2013-11-04,DUK,0
293,963,2013-11-05,DUK,1
294,962,2013-11-06,DUK,1
295,961,2013-11-07,DUK,0
296,960,2013-11-08,DUK,0
297,959,2013-11-11,DUK,1
298,958,2013-11-12,DUK,0
299,957,2013-11-13,DUK,1
300,956,2013-11-14,DUK,1
301,955,2013-11-15,DUK,0
302,954,2013-11-18,DUK,0
303,953,2013-11-19,DUK,0
304,952,2013-11-20,DUK,0
305,951,2013-11-21,DUK,1
306,950,2013-11-22,DUK,0
307,949,2013-11-25,DUK,0
308,948,2013-11-26,DUK,0
309,947,2013-11-27,DUK,1
310,946,2013-11-29,DUK,1
311,945,2013-12-02,DUK,0
312,944,2013-12-03,DUK,1
313,943,2013-12-04,DUK,1
314,942,2013-12-05,DUK,0
315,941,2013-12-06,DUK,1
316,940,2013-12-09,DUK,0
317,939,2013-12-10,DUK,0
318,938,2013-12-11,DUK,0
319,937,2013-12-12,DUK,1
320,936,2013-12-13,DUK,1
321,935,2013-12-16,DUK,1
322,934,2013-12-17,DUK,0
323,933,2013-12-18,DUK,1
324,932,2013-12-19,DUK,0
325,931,2013-12-20,DUK,1
326,930,2013-12-23,DUK,0
327,929,2013-12-24,DUK,1
328,928,2013-12-26,DUK,0
329,927,2013-12-27,DUK,1
330,926,2013-12-30,DUK,0
331,925,2013-12-31,DUK,0
332,924,2014-01-02,DUK,0
333,923,2014-01-03,DUK,1
334,922,2014-01-06,DUK,1
335,921,2014-01-07,DUK,1
336,920,2014-01-08,DUK,0
337,919,2014-01-09,DUK,1
338,918,2014-01-10,DUK,1
339,917,2014-01-13,DUK,0
340,916,2014-01-14,DUK,1
341,915,2014-01-15,DUK,0
342,914,2014-01-16,DUK,1
343,913,2014-01-17,DUK,0
344,912,2014-01-21,DUK,1
345,911,2014-01-22,DUK,0
346,910,2014-01-23,DUK,0
347,909,2014-01-24,DUK,0
348,908,2014-01-27,DUK,1
349,907,2014-01-28,DUK,0
350,906,2014-01-29,DUK,1
351,905,2014-01-30,DUK,1
352,904,2014-01-31,DUK,0
353,903,2014-02-03,DUK,0
354,902,2014-02-04,DUK,0
355,901,2014-02-05,DUK,1
356,900,2014-02-06,DUK,1
357,899,2014-02-07,DUK,0
358,898,2014-02-10,DUK,1
359,897,2014-02-11,DUK,0
360,896,2014-02-12,DUK,0
361,895,2014-02-13,DUK,1
362,894,2014-02-14,DUK,0
363,893,2014-02-18,DUK,1
364,892,2014-02-19,DUK,1
365,891,2014-02-20,DUK,0
366,890,2014-02-21,DUK,0
367,889,2014-02-24,DUK,0
368,888,2014-02-25,DUK,1
369,887,2014-02-26,DUK,0
370,886,2014-02-27,DUK,0
371,885,2014-02-28,DUK,1
372,884,2014-03-03,DUK,0
373,883,2014-03-04,DUK,1
374,882,2014-03-05,DUK,0
375,881,2014-03-06,DUK,0
376,880,2014-03-07,DUK,1
377,879,2014-03-10,DUK,0
378,878,2014-03-11,DUK,1
379,877,2014-03-12,DUK,1
380,876,2014-03-13,DUK,0
381,875,2014-03-14,DUK,0
382,874,2014-03-17,DUK,1
383,873,2014-03-18,DUK,0
384,872,2014-03-19,DUK,0
385,871,2014-03-20,DUK,1
386,870,2014-03-21,DUK,0
387,869,2014-03-24,DUK,1
388,868,2014-03-25,DUK,1
389,867,2014-03-26,DUK,0
390,866,2014-03-27,DUK,1
391,865,2014-03-28,DUK,0
392,864,2014-03-31,DUK,1
393,863,2014-04-01,DUK,0
394,862,2014-04-02,DUK,1
395,861,2014-04-03,DUK,1
396,860,2014-04-04,DUK,0
397,859,2014-04-07,DUK,1
398,858,2014-04-08,DUK,1
399,857,2014-04-09,DUK,0
400,856,2014-04-10,DUK,1
401,855,2014-04-11,DUK,1
402,854,2014-04-14,DUK,0
403,853,2014-04-15,DUK,1
404,852,2014-04-16,DUK,0
405,851,2014-04-17,DUK,0
406,850,2014-04-21,DUK,1
407,849,2014-04-22,DUK,1
408,848,2014-04-23,DUK,0
409,847,2014-04-24,DUK,1
410,846,2014-04-25,DUK,1
411,845,2014-04-28,DUK,0
412,844,2014-04-29,DUK,0
413,843,2014-04-30,DUK,1
414,842,2014-05-01,DUK,1
415,841,2014-05-02,DUK,0
416,840,2014-05-05,DUK,1
417,839,2014-05-06,DUK,0
418,838,2014-05-07,DUK,1
419,837,2014-05-08,DUK,0
420,836,2014-05-09,DUK,1
421,835,2014-05-12,DUK,1
422,834,2014-05-13,DUK,1
423,833,2014-05-14,DUK,1
424,832,2014-05-15,DUK,0
425,831,2014-05-16,DUK,0
426,830,2014-05-19,DUK,0
427,829,2014-05-20,DUK,1
428,828,2014-05-21,DUK,1
429,827,2014-05-22,DUK,1
430,826,2014-05-23,DUK,0
431,825,2014-05-27,DUK,1
432,824,2014-05-28,DUK,1
433,823,2014-05-29,DUK,0
434,822,2014-05-30,DUK,0
435,821,2014-06-02,DUK,0
436,820,2014-06-03,DUK,1
437,819,2014-06-04,DUK,1
438,818,2014-06-05,DUK,1
439,817,2014-06-06,DUK,0
440,816,2014-06-09,DUK,0
441,815,2014-06-10,DUK,1
442,814,2014-06-11,DUK,0
443,813,2014-06-12,DUK,1
444,812,2014-06-13,DUK,0
445,811,2014-06-16,DUK,1
446,810,2014-06-17,DUK,0
447,809,2014-06-18,DUK,1
448,808,2014-06-19,DUK,0
